Summary run status                                                     OK
                 
Artifacts dir                                                          2021-07-31_13-18-44 
OS                                                                     Linux               
DC Apps Performance Toolkit version                                    5.0.0               
Application                                                            jira 8.13.7         
Dataset info                                                           1056944 issues      
Application nodes count                                                2                   
Concurrency                                                            200                 
Expected test run duration from yml file                               2700 sec            
Actual test run duration                                               2896 sec            
Finished                                                               (True, 'OK')        
Compliant                                                              (True, 'OK')        
Success                                                                (True, 'OK')        
Has app-specific actions                                               False               

Action                                                                Success Rate        90th Percentile     Status              
jmeter_login_and_view_dashboard                                        100.0               0.44                OK                  
jmeter_view_issue                                                      100.0               0.25                OK                  
jmeter_search_jql                                                      100.0               0.56                OK                  
jmeter_view_dashboard                                                  100.0               0.09                OK                  
jmeter_view_scrum_board                                                100.0               0.17                OK                  
jmeter_create_issue:open_quick_create                                  100.0               0.1                 OK                  
jmeter_create_issue:fill_and_submit_issue_form                         100.0               0.26                OK                  
jmeter_view_backlog                                                    100.0               0.38                OK                  
jmeter_view_kanban_board                                               100.0               0.19                OK                  
jmeter_browse_projects                                                 100.0               0.06                OK                  
jmeter_edit_issue:open_editor                                          100.0               0.11                OK                  
jmeter_edit_issue:save_edit                                            100.0               0.32                OK                  
jmeter_view_project_summary                                            100.0               0.11                OK                  
jmeter_add_comment:open_comment                                        100.0               0.08                OK                  
jmeter_add_comment:save_comment                                        100.0               0.33                OK                  
jmeter_browse_boards                                                   100.0               0.07                OK                  
selenium_login:open_login_page                                         100.0               0.12                OK                  
selenium_login:login_and_view_dashboard                                100.0               0.53                OK                  
selenium_login                                                         100.0               0.65                OK                  
selenium_browse_projects_list                                          100.0               0.27                OK                  
selenium_browse_boards_list                                            100.0               0.26                OK                  
selenium_create_issue:open_quick_create                                100.0               0.69                OK                  
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form     100.0               0.6                 OK                  
selenium_create_issue:fill_and_submit_issue_form                       100.0               1.11                OK                  
selenium_create_issue                                                  100.0               1.79                OK                  
selenium_edit_issue:open_edit_issue_form                               100.0               0.55                OK                  
selenium_edit_issue:save_edit_issue_form                               100.0               0.63                OK                  
selenium_edit_issue                                                    100.0               1.5                 OK                  
selenium_save_comment:open_comment_form                                100.0               0.35                OK                  
selenium_save_comment:submit_form                                      100.0               0.74                OK                  
selenium_save_comment                                                  100.0               1.19                OK                  
selenium_search_jql                                                    100.0               1.18                OK                  
selenium_view_scrum_board_backlog                                      100.0               1.2                 OK                  
selenium_view_scrum_board                                              100.0               0.81                OK                  
selenium_view_kanban_board                                             100.0               0.95                OK                  
selenium_view_dashboard                                                100.0               0.58                OK                  
selenium_view_issue                                                    100.0               0.6                 OK                  
selenium_project_summary                                               100.0               0.42                OK                  
selenium_log_out                                                       100.0               0.36                OK                  
